name,year,buy_price,sell_price,km_driven,fuel,seller_type,transmission,owner
Maruti Ciaz VXi Plus,2015,502348.1799,585000,24000,Petrol,Dealer,Manual,First Owner
Hyundai Venue SX Opt Diesel,2019,989270.0546,1195000,5000,Diesel,Dealer,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,346346.5738,390000,33000,Diesel,Individual,Manual,Second Owner
Jaguar XF 2.2 Litre Luxury,2014,1650225.252,1964999,28000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,2013,1166095.622,1425000,59000,Diesel,Dealer,Automatic,First Owner
Maruti Vitara Brezza ZDi Plus AMT,2018,853771.845,975000,4500,Diesel,Dealer,Automatic,First Owner
Audi Q5 2.0 TDI,2011,1070718.509,1190000,175900,Diesel,Dealer,Automatic,First Owner
Honda City V MT,2018,756797.108,930000,14500,Petrol,Dealer,Manual,First Owner
Tata Tigor 1.2 Revotron XT,2018,441795.1812,525000,15000,Petrol,Individual,Manual,First Owner
Audi A6 2.0 TDI  Design Edition,2013,1513379.258,1735000,50000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1169733.245,1375000,33800,Diesel,Dealer,Automatic,Second Owner
Skoda Superb Ambition 2.0 TDI CR AT,2011,381239.7486,450000,130400,Diesel,Dealer,Automatic,Second Owner
Toyota Corolla Altis G AT,2016,775276.0211,900000,50000,Petrol,Individual,Automatic,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1157944.769,1300000,80000,Diesel,Individual,Manual,First Owner
Jeep Compass 1.4 Sport Plus BSIV,2019,1189053.798,1400000,10000,Petrol,Individual,Manual,First Owner
Mercedes-Benz E-Class E 200 CGI Elegance,2010,764864.1388,850000,119000,Petrol,Dealer,Automatic,First Owner
Hyundai i10 Magna 1.1L,2014,193444.3572,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
BMW 3 Series 320d Sport Line,2013,1360842.831,1550000,75800,Diesel,Dealer,Automatic,Second Owner
Audi Q7 35 TDI Quattro Premium,2009,1015619.318,1250000,78000,Diesel,Dealer,Automatic,Third Owner
Hyundai Elantra CRDi S,2012,504887.1788,625000,40000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,2014,937639.2757,1050000,50000,Diesel,Individual,Manual,First Owner
Honda City i DTEC V,2014,452349.0372,560000,74000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV with ABS,2014,255445.1421,290000,64000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,2012,235892.096,275000,60000,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio LX,2009,334629.2717,411000,120000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2009,120967.7135,150000,79000,Petrol,Individual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,2019,419898.8392,500000,15000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2006,82129.78596,100000,80000,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI Optional,2017,608228.4562,725000,18500,Diesel,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,2018,348424.5806,401000,10200,Petrol,Dealer,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2018,647481.1837,750000,29000,Diesel,Dealer,Manual,First Owner
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,257139.1206,310000,28000,Petrol,Dealer,Manual,First Owner
Maruti Swift ZDi BSIV,2016,586537.2502,665000,46000,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,380800.0386,465000,70000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2012,134821.2888,160000,60000,Petrol,Individual,Manual,Second Owner
Mahindra Jeep CL 500 MDI,1996,213802.3867,250000,35000,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,2014,587976.4822,675000,90000,Diesel,Dealer,Manual,First Owner
Maruti Wagon R VXI BS IV,2013,246695.9963,300000,80000,Petrol,Dealer,Manual,First Owner
Tata Indica DLS,2005,58285.10975,70000,80000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2014,194395.0596,240000,73300,Petrol,Dealer,Manual,Second Owner
Toyota Etios GD,2014,426528.074,525000,92000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2009,124293.1368,151000,66764,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXi,2009,120573.6492,140000,100000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,235207.4763,280000,350000,Diesel,Individual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,2011,313175.1293,350000,230000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S6 Plus,2017,492738.292,570000,60000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2018,262969.1887,300000,31000,Petrol,Individual,Manual,First Owner
Tata Indigo Classic Dicor,2007,87292.82459,100000,39000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,2009,424760.7939,500000,120000,Diesel,Individual,Manual,Third Owner
Tata Indica Vista Quadrajet LS,2014,108164.3611,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Swift 1.3 VXi,2006,114262.2061,130000,110000,Petrol,Individual,Manual,Third Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,799275.9328,925000,35000,Diesel,Individual,Manual,First Owner
Maruti Ciaz 1.3 Delta,2018,631673.1587,750000,60000,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 V AT,2007,164527.8271,200000,54000,Petrol,Individual,Automatic,Second Owner
Hyundai i10 Sportz 1.2,2010,212445.4083,248000,63000,Petrol,Individual,Manual,Second Owner
Skoda Rapid 1.5 TDI Elegance,2014,369106.0346,450000,120000,Diesel,Individual,Manual,Second Owner
Hyundai Getz GLS,2005,71609.72735,80000,120000,Petrol,Individual,Manual,Third Owner
Nissan Terrano XL,2014,535733.4342,650000,76000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,2015,383270.2828,450000,80000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Diesel Era,2019,551839.2275,650000,25000,Diesel,Individual,Manual,First Owner
Honda Amaze S i-VTEC,2016,400916.793,495000,11958,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,2015,321967.3808,371000,20000,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 SX Option,2017,886528.4599,1025000,9000,Petrol,Dealer,Manual,First Owner
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,6762155.603,8150000,6500,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500 W8 2WD,2015,663886.6807,750000,70000,Diesel,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxL Optional,2013,514421.2365,600000,120000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XO,2007,67198.67939,80000,58000,Petrol,Dealer,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,2013,285885.6754,325000,62200,Diesel,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2014,1256622.855,1470000,34000,Diesel,Dealer,Automatic,Second Owner
Fiat Avventura MULTIJET Emotion,2015,291561.1003,350000,53000,Diesel,Individual,Manual,Second Owner
Audi A8 4.2 TDI,2013,2472923.496,2800000,49000,Diesel,Dealer,Automatic,First Owner
Datsun RediGO 1.0 S,2017,173248.4266,210000,15000,Petrol,Dealer,Manual,Second Owner
Volkswagen Jetta 1.4 TSI Comfortline,2013,403067.3924,450000,50000,Petrol,Individual,Manual,First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,967154.7555,1150000,53000,Diesel,Dealer,Automatic,First Owner
Honda Civic 1.8 V AT,2009,170246.9786,210000,63500,Petrol,Dealer,Automatic,First Owner
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,3632080.035,4500000,9800,Petrol,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,2017,2395135.898,2750000,13000,Diesel,Individual,Automatic,First Owner
Volvo V40 D3 R Design,2018,1724205.494,1975000,21000,Diesel,Dealer,Automatic,First Owner
Maruti SX4 Zxi BSIII,2008,148421.4321,175000,29173,Petrol,Dealer,Manual,First Owner
BMW 7 Series 730Ld,2012,2147387.968,2500000,48000,Diesel,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,2017,558439.4181,628000,120000,Diesel,Individual,Manual,First Owner
Hyundai Sonata CRDi M/T,2010,519404.3722,600000,100000,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV Petrol,2017,345230.9375,399000,30000,Petrol,Individual,Manual,First Owner
Mahindra Xylo D4,2018,652757.4177,750000,87000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,673536.5065,750000,15000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2017,264285.9269,315000,16000,Petrol,Individual,Manual,First Owner
Mahindra Xylo E4 BS III,2012,536641.6988,600000,60000,Diesel,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2010,82339.00001,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti SX4 ZXI MT BSIV,2011,212912.3782,250000,110000,Petrol,Individual,Manual,Third Owner
Renault KWID RXT,2017,301729.0139,350000,25000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi S,2016,653962.362,780000,60000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VDI,2014,364516.0109,434000,79350,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 VTVT AT S Option,2016,598469.5989,690000,80000,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio LX BSIV,2014,462009.2431,555000,90000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIII,2007,96653.43851,120000,90000,Petrol,Individual,Manual,Second Owner
Maruti Ertiga VDI,2014,445777.7721,500000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel,2013,139255.8398,165000,60000,Diesel,Individual,Manual,Second Owner
Maruti Zen LX,2004,84733.94909,95000,50000,Petrol,Individual,Manual,First Owner
Maruti Baleno Delta 1.2,2018,492217.975,550000,20000,Petrol,Individual,Manual,First Owner
Maruti Swift Vdi BSIII,2007,89787.91197,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Nano Lx BSIV,2012,86631.88265,100000,50000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,429238.2767,500000,100000,Diesel,Individual,Manual,First Owner
Maruti Ertiga SHVS VDI,2016,654943.1797,800000,70000,Diesel,Individual,Manual,Second Owner
Hyundai Creta 1.6 CRDi SX,2016,710405.8165,840000,70000,Diesel,Individual,Manual,Second Owner
Honda Amaze S i-Vtech,2016,409974.8187,490000,50000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua 1.4 TDI,2010,109585.2928,125000,81000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,346612.978,400000,120000,Diesel,Individual,Manual,Third Owner
Chevrolet Cruze LTZ,2015,847517.3767,1000000,3600,Diesel,Dealer,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,441690.7548,530000,14272,Petrol,Dealer,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,715728.6772,840000,49213,Diesel,Dealer,Manual,First Owner
Hyundai i10 Sportz 1.1L,2015,198000.5065,229999,40000,Petrol,Individual,Manual,First Owner
Maruti 800 Std,1998,33998.23807,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet Spark 1.0 LS,2012,107478.1285,130000,80000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,2015,161961.3219,200000,70000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua TDI BSIII,2011,97930.48274,120000,70000,Diesel,Individual,Manual,First Owner
Hyundai Santro LP zipPlus,2003,65703.61551,75000,57000,Petrol,Individual,Manual,First Owner
Tata Bolt Quadrajet XE,2016,211152.4991,250000,120000,Diesel,Individual,Manual,First Owner
Maruti 800 AC BSIII,2005,81461.77286,100000,30000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,2013,235452.4009,280000,3240,Petrol,Individual,Manual,Second Owner
Hyundai i20 Magna 1.2,2015,470646.4121,540000,5000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.2 Asta,2018,624780.885,700000,10000,Petrol,Individual,Manual,First Owner
Maruti Ciaz VDi Plus,2015,444792.5758,525000,100000,Diesel,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,2016,351505.6156,430000,80000,Diesel,Individual,Manual,First Owner
Hyundai Santro LE,2002,52123.70856,65000,70000,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza VDi,2018,680238.0218,800000,35000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,2007,63033.86401,75000,114000,Petrol,Individual,Manual,Second Owner
Hyundai Getz 1.3 GLS,2008,175001.0375,210000,53772,Petrol,Individual,Manual,First Owner
Mahindra Quanto C8,2012,160926.4304,195000,140000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,338250.4149,400000,120000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2012,141786.2269,170000,60000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2016,196197.2972,225000,25000,Petrol,Individual,Manual,First Owner
Maruti Wagon R DUO LPG,2014,181199.4231,210000,90000,LPG,Individual,Manual,First Owner
Maruti Wagon R LXI,2020,198055.9822,240000,120000,Petrol,Individual,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,2015,266605.1814,300000,175000,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0 LS,2011,84116.86824,99000,100000,Petrol,Individual,Manual,Third Owner
Honda City i VTEC SV,2014,499342.7516,620000,36000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2013,426431.7979,500000,30000,Diesel,Individual,Manual,First Owner
Jaguar XJ 5.0 L V8 Supercharged,2010,2063547.628,2550000,40000,Petrol,Individual,Automatic,Second Owner
Honda Brio E MT,2013,216251.6432,260000,70000,Petrol,Individual,Manual,Second Owner
Maruti Swift VVT ZXI,2017,456681.2053,550000,60000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,2011,130821.5072,150000,155500,Diesel,Individual,Manual,First Owner
Hyundai i10 Asta AT,2011,292332.0623,350000,50000,Petrol,Individual,Automatic,Second Owner
Chevrolet Beat LT,2016,282339.5654,320000,40000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,2015,346963.8686,400000,100000,Diesel,Individual,Manual,Third Owner
Maruti Alto LXi,2012,151500.4138,175000,80000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat LT,2011,107228.0582,120000,90000,Petrol,Individual,Manual,Second Owner
Renault Duster 110PS Diesel RxZ,2013,259019.0411,320000,90000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing XG,2006,61495.15593,70000,110000,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire ZXI Plus,2019,659062.8686,810000,15000,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2007,81619.6161,95000,100000,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 LXI CNG,2020,252085.9138,282000,40000,CNG,Individual,Manual,First Owner
Maruti 800 Std BSII,2004,67987.18036,80000,60000,Petrol,Individual,Manual,Second Owner
Tata Nano LX SE,2013,58457.31222,72000,25000,Petrol,Individual,Manual,First Owner
Hyundai i20 Magna 1.2,2016,519783.8631,600000,25000,Petrol,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,574607.3792,640000,23000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,2018,307705.8469,380000,22155,Petrol,Individual,Manual,First Owner
Maruti Ciaz 1.4 Delta,2018,547862.9838,650000,70000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2009,124044.6998,150000,60000,Petrol,Individual,Manual,Second Owner
Hyundai i20 Asta,2009,236635.5518,280000,110000,Petrol,Individual,Manual,Second Owner
Tata Nexon 1.2 Revotron XM,2018,355970.6049,430000,30000,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus SLX,2019,655805.1133,800000,15000,Diesel,Individual,Manual,First Owner
Maruti Zen D,2003,60240.32629,75000,100000,Diesel,Individual,Manual,Second Owner
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,561343.5692,650000,70000,Diesel,Individual,Automatic,First Owner
Maruti Eeco 7 Seater Standard BSIV,2017,339330.4515,390000,24000,Petrol,Individual,Manual,First Owner
Honda City 1.5 EXI,2005,89836.55547,100000,120000,Petrol,Individual,Manual,Second Owner
Mercedes-Benz New C-Class 220 CDI AT,2013,1232642.609,1500000,35000,Diesel,Individual,Automatic,First Owner
Maruti SX4 Zxi with Leather BSIII,2007,149437.2979,175000,78380,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2012,356181.144,434999,110000,Diesel,Individual,Manual,Second Owner
Ford Figo Diesel Titanium,2010,148685.0588,170000,90000,Diesel,Individual,Manual,Third Owner
Ford Figo Diesel Titanium,2011,164323.7578,190000,90000,Diesel,Individual,Manual,Third Owner
Maruti Swift Dzire VDi,2009,202114.6925,250000,150000,Diesel,Individual,Manual,Third Owner
Mahindra Xylo E4,2009,195763.5303,229999,230000,Diesel,Individual,Manual,Third Owner
Maruti Esteem Vxi - BSIII,2006,115671.7042,140000,70000,Petrol,Individual,Manual,Third Owner
Maruti Swift VDI BSIV,2017,507723.3399,600000,80362,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Sportz,2012,242134.5214,280000,110000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat Diesel LT,2012,127304.2634,150000,60000,Diesel,Individual,Manual,First Owner
Chevrolet Cruze LTZ AT,2015,539344.0546,650000,50000,Diesel,Individual,Automatic,First Owner
Nissan Micra XL,2014,168535.4156,210000,40000,Petrol,Individual,Manual,Second Owner
BMW 5 Series 520d Luxury Line,2017,2423502.345,2900000,40000,Diesel,Individual,Automatic,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,2013,345773.3099,425000,20000,Diesel,Dealer,Manual,First Owner
Hyundai EON Era Plus Option,2014,223478.627,265000,55000,Petrol,Dealer,Manual,First Owner
Fiat Linea T Jet Emotion,2018,766700.0834,890000,1136,Petrol,Dealer,Manual,First Owner
Renault Scala RxL,2013,297103.7928,365000,55000,Petrol,Dealer,Manual,First Owner
Ford Figo Petrol Titanium,2014,298848.6918,350000,43000,Petrol,Dealer,Manual,First Owner
Maruti Ciaz ZDi SHVS,2016,553317.598,685000,60000,Diesel,Individual,Manual,First Owner
Skoda Rapid 1.5 TDI Ambition BSIV,2018,820930.016,940000,2650,Diesel,Dealer,Manual,First Owner
Mahindra XUV500 W6 2WD,2017,888268.8684,1000000,40000,Diesel,Individual,Manual,First Owner
Mahindra XUV300 W8 Option,2019,953584.5249,1150000,15000,Petrol,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,2016,362586.1981,450000,115962,Diesel,Individual,Manual,Second Owner
Nissan Terrano XE D,2015,509485.1755,590000,65000,Diesel,Dealer,Manual,First Owner
Maruti S-Cross Facelift,2017,690522.3461,800000,40000,Diesel,Individual,Manual,First Owner
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,338175.2816,385000,58000,Diesel,Dealer,Manual,First Owner
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,1614617.929,2000000,15000,Diesel,Individual,Automatic,First Owner
Hyundai EON Era Plus,2012,207409.6262,235000,54000,Petrol,Dealer,Manual,First Owner
Volkswagen Ameo 1.5 TDI Highline,2017,548142.7365,640000,56000,Diesel,Dealer,Manual,First Owner
Maruti Alto LX,2006,42758.65463,52000,120000,Petrol,Individual,Manual,Third Owner
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,70638.15041,80000,90000,LPG,Individual,Manual,Second Owner
Maruti Alto LX,2012,112723.5631,140000,70000,Petrol,Individual,Manual,Second Owner
Hyundai Verna i (Petrol),2008,100755.8385,120000,90000,Petrol,Individual,Manual,Second Owner
Mahindra Renault Logan 1.5 DLS,2008,80186.91633,89999,213000,Diesel,Individual,Manual,First Owner
Chevrolet Optra Magnum 2.0 LS BSIII,2012,157725.7159,180000,120000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,2017,1212763.898,1500000,20000,Diesel,Individual,Manual,First Owner
Hyundai i20 Active 1.2 SX,2017,595271.705,700000,10000,Petrol,Individual,Manual,First Owner
Maruti SX4 Celebration Diesel,2012,239785.7613,285000,80000,Diesel,Individual,Manual,Second Owner
Hyundai Grand i10 Magna,2015,338820.6807,390000,90000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi BSIII,2008,100788.4691,125000,80000,Petrol,Individual,Manual,First Owner
Maruti SX4 Zxi with Leather BSIII,2008,195134.9458,225000,60000,Petrol,Individual,Manual,Second Owner
Hyundai i10 Era,2011,147636.7715,175000,139000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 V Diesel 7-seater,2011,930007.6602,1075000,160000,Diesel,Individual,Manual,Second Owner
Honda Mobilio V i DTEC,2014,241908.6232,300000,150000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,587147.9195,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Indica V2 2001-2011 DLS BSIII,2009,76891.51684,90000,120000,Diesel,Dealer,Manual,First Owner
Tata Indica Vista TDI LS,2011,98188.47745,120000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel LS,2012,187254.0605,220000,100000,Diesel,Individual,Manual,Second Owner
Tata Zest Quadrajet 1.3 75PS XE,2015,269769.2914,300000,140000,Diesel,Dealer,Manual,First Owner
Skoda Fabia 1.2L Diesel Ambiente,2010,151508.3928,180000,87000,Diesel,Dealer,Manual,Second Owner
Maruti 800 Std,2013,151883.8775,170000,70000,Petrol,Individual,Manual,First Owner
Ford Figo Petrol Titanium,2015,262509.0564,300000,50000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,868068.1702,1050000,70000,Diesel,Individual,Manual,First Owner
Honda Mobilio V i DTEC,2014,249529.6053,300000,150000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,2018,372166.7585,465000,25000,Diesel,Individual,Manual,First Owner
Chevrolet Beat Diesel LT,2011,106149.4699,130000,80000,Diesel,Individual,Manual,Second Owner
Datsun GO Plus T Option Petrol,2018,382789.0015,434999,10000,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,2018,423248.1741,500000,32000,Petrol,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,2018,175588.7426,200000,10000,Petrol,Individual,Manual,First Owner
Maruti Baleno Alpha 1.2,2017,536370.1269,625000,52000,Petrol,Dealer,Manual,First Owner
Ford Fiesta Classic 1.4 SXI Duratorq,2006,98908.85822,110000,120000,Diesel,Individual,Manual,Third Owner
Hyundai Elite i20 Asta Option BSIV,2019,685067.5316,800000,11240,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 CRDi Magna,2017,413509.618,490000,66000,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,2017,706255.8092,880000,64000,Diesel,Dealer,Manual,First Owner
Hyundai Santro Xing GL Plus,2013,242938.8515,290000,49000,Petrol,Individual,Manual,First Owner
Tata Sumo GX TC 7 Str BSIII,2006,99151.96814,115999,100000,Diesel,Individual,Manual,Second Owner
Renault KWID RXT,2018,308561.6549,360000,26500,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2002,53295.29769,65000,100000,Petrol,Individual,Manual,Second Owner
Maruti Vitara Brezza LDi Option,2017,573531.8542,685000,72000,Diesel,Dealer,Manual,First Owner
Honda Jazz S,2009,261495.9233,300000,50000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Sportz,2017,554663.7572,680000,44000,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI Plus,2017,843121.4318,1000000,60000,Diesel,Individual,Manual,Second Owner
Tata Sumo SE Plus BSIII,2002,89636.82552,100000,120000,Diesel,Individual,Manual,First Owner
Mahindra Xylo E4,2010,139006.1132,160000,130000,Diesel,Individual,Manual,First Owner
Maruti Swift ZDi BSIV,2017,393348.3414,450000,70000,Diesel,Individual,Manual,First Owner
Maruti Ertiga VXI,2014,487671.5643,600000,20000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Magna ABS,2009,160296.786,180000,60000,Diesel,Individual,Manual,Second Owner
Maruti Alto LXi,2007,83645.01923,100000,195000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2010,103317.0432,120000,90000,Petrol,Individual,Manual,Second Owner
Hyundai Getz GL,2006,109231.4383,130000,80000,Petrol,Individual,Manual,Third Owner
